"state";"state_registration"
"SP";"254244220117"
"ES";"84498838"
"TO";"295484721"
"SP";"000015265711"
"SP";"115280478112"
"MG";"46308370096"
"PR";"9110707824"
"MT";"139238328"
"PR";"9092181364"
"MT";"141001798"
"SE";"272245828"
"BA";"195861941"
"PA";"157905101"
"MG";"49931230053"
"MG";"34761830069"
"MG";"48233980099"
"ES";"84267178"
"PR";"9096748245"
"PE";"115545174"
"ES";"82015163"
"SC";"256644608"
"GO";"202511308"
"MG";"10033110077"
"RJ";"13027358"
"MG";"49576810060"
"MG";"41087590086"
"MG";"51873310099"
"MG";"40617540047"
"MG";"48965980062"
"MG";"47395840070"
"MS";"289517206"
"MG";"45756200061"
"MG";"41616530073"
"RJ";"14353224"
"MG";"0041540690059"
"PR";"9102450318"
"SC";"261737341"
"MS";"289621046"
"CE";"071196714"
"SP";"155660012117"
"MG";"Minas Gerais"
"GO";"10909841"
"RS";"137/0096434"
"SP";"112233"
"SP";"151878306111"
"SP";"371.197.004.118"
"SP";"138.350.515.117"
"PR";"9091181239"
"GO";"20.105.310-1"
"GO";"203477600"
"SP";"345.131.890.117"
"SC";"261006541"
"PR";"91094645-51"
"PR";"90988585-01"
"SP";"587424771113"
"SP";"688.652.644.112"
"RS";"161/0083897"
"PA";"159500613"
"MG";"0029541720013"
"SP";"SP"
"SP";"361028584117"
"PB";"16.487.924-2"
"PA";"159620597"
"SP";"227055 058 118"
"SP";"157570163116"
"MA";"128823640"
"GO";"200287796"
"SP";"214.419.135.113"
"PB";"16.522.615-3"
"RJ";"87.073.22-0"
"MG";"38992880022"
"PR";"9114435543"
"RJ";"14.697.586"
"MG";"37777620037"
"MS";"289653835"
"PA";"750287047"
"MS";"28.459.814-3"
"GO";"106109464"
"SP";"131816866116"
"RJ";"150001526"
"SP";"672.783.586.112"
"PA";"15.925.404-3"
"SP";"718308208114"
"SP";"204.373.114.116"
"CE";"073016055"
"MG";"0041353130010"
"RJ";"15165049"
"SP";"668130155111"
"MS";"283894474"
"PR";"91164443-61"
"RS";"137/0095560"
"PA";"152202056"
"SP";"181698342119"
"MT";"141007508"
"MA";"128705167"
"MG";"47928950014"
"RO";"6658016"
"SP";"249398695446"
"SP";"156163165113"
"MG";"0026079070014"
"MG";"004633475.00-54"
"GO";"202715892"
"PE";"118569201"
"SP";"177468373110"
"SC";"257695117"
"MG";"005132289.00-56"
"SP";"701238034110"
"SP";"270040564111"
"SP";"165.592.739.118"
"RJ";"12045417"
"PI";"197319785"
"RO";"00000007490496"
"MG";"0045240860025"
"RR";"240593440"
"MT";"141700360"
"CE";"070440875"
"SP";"639.288.710.117"
"MT";"138213496"
"GO";"109539176"
"PR";"9095785074"
"GO";"201737094"
"PI";"197748066"
"RR";"240586186"
"PR";"9100533887"
"PR";"9107828190"
"MG";"42095440021"
"MG";"0052059160057"
"BA";"242.206.860"
"SP";"797647845117"
"SP";"154095010115"
"PR";"91163032-02"
"SP";"639270360110"
"MS";"289602386"
"MS";"28.487.282-2"
"RN";"20.700-355-6"
"RO";"00000006131115"
"MA";"128367164"
"PE";"131859773"
"SP";"208179118119"
"PR";"9113105469"
"MG";"0038709780017"
"RS";"8000669933"
"MA";"129509752"
"SP";"131005803119"
"PE";"1320678-89"
"RS";"1550115216"
"SP";"562559594115"
"SP";"157096610111"
"SP";"407361475116"
"GO";"202354407"
"GO";"109014839"
"RS";"108/0212164"
"PR";"9091671325"
"MG";"0035321370044"
"PR";"9078479180"
"MA";"128104481"
"MG";"005409728.00-82"
"SP";"555.151.733.117"
"RS";"096/4061317"
"PB";"165412054"
"PA";"750429186"
"DF";"07.516.487/001-85"
"MG";"0051079080015"
"SP";"158869038119"
"PR";"9121650514"
"MG";"51728910099"
"PA";"159622166"
"MT";"14.178.036-3"
"BA";"212385847"
"SP";"456.282.102.110"
"MA";"12.8808.225"
"PR";"9120084280"
"MT";"141623764"
"SC";"258684461"
"TO";"295238208"
"PR";"91223048-14"
"MG";"0031734890037"
"TO";"295639741"
"MG";"49126070057"
"SP";"227.042.443-110"
"SP";"375084152110"
"MG";"0048322060033"
"SC";"261965158"
"SP";"204306300116"
"MS";"289530474"
"SP";"137.975.799.115"
"MG";"0051079080015"
"PR";"9111399791"
"MG";"0052822630089"
"PR";"91054750-01"
"BA";"244870014"
"SC";"25592711-8"
"MG";"0052071970004"
"RS";"0010022210"
"MG";"0052233340094"
"ES";"084807415"
"GO";"109014839"
"GO";"200903667"
"SP";"165.790753119"
"SP";"158723033115"
"SP";"135276680113"
"SC";"264087623"
"PB";"16.383.539-0"
"MG";"48491160051"
"PR";"91232141-00"
"SP";"154.608.806.119"
"GO";"203710401"
"MT";"131529765"
"SC";"255855940"
"MS";"500284741"
